iter	Passed	Remaining
443	2002	252
444	2006	247
445	2010	243
446	2014	238
447	2017	234
448	2021	229
449	2026	225
450	2030	220
451	2034	216
452	2037	211
453	2042	206
454	2046	202
455	2049	197
456	2053	193
457	2058	188
458	2062	184
459	2065	179
460	2069	175
461	2073	170
462	2077	166
463	2081	161
464	2085	156
465	2089	152
466	2093	147
467	2097	143
468	2100	138
469	2104	134
470	2109	129
471	2112	125
472	2116	120
473	2120	116
474	2124	111
475	2128	107
476	2132	102
477	2136	98
478	2141	93
479	2145	89
480	2149	84
481	2153	80
482	2157	75
483	2161	71
484	2165	66
485	2168	62
486	2173	58
487	2176	53
488	2180	49
489	2184	44
490	2190	40
491	2194	35
492	2198	31
493	2203	26
494	2207	22
495	2211	17
496	2215	13
497	2220	8
498	2225	4
499	2229	0
