iter	RMSE
327	0.1409704476
328	0.1408411826
329	0.1406499067
330	0.1405466889
331	0.1404341974
332	0.1403364417
333	0.1402590841
334	0.1401649933
335	0.1399888637
336	0.1399650485
337	0.1398119198
338	0.1397491563
339	0.1397291
340	0.139709632
341	0.1396902095
342	0.1395736384
343	0.1394097386
344	0.139255237
345	0.1390882669
346	0.1390068685
347	0.138888298
348	0.1388163381
349	0.1386671955
350	0.1386397492
351	0.1385027117
352	0.1383704701
353	0.1383514869
354	0.1381750648
355	0.1380714289
356	0.1380530075
357	0.1379361328
358	0.137918489
359	0.1377945889
360	0.1376521636
361	0.1375149611
362	0.1373819042
363	0.1372237212
364	0.1371035035
365	0.1370237652
366	0.1368887847
367	0.1368230359
368	0.136803593
369	0.1367134756
370	0.1365594459
371	0.1365326888
372	0.1365165829
373	0.1364197187
374	0.136264218
375	0.1360724018
376	0.1359440515
377	0.1358118958
378	0.1356229319
379	0.1354869763
380	0.1353489857
381	0.1352337671
382	0.1352183001
383	0.1350769749
384	0.1349389023
385	0.1348206983
386	0.1346809288
387	0.134557932
388	0.1345345928
389	0.1345190894
390	0.1345045775
391	0.1343874226
392	0.1342857858
393	0.1341348284
394	0.1340718533
395	0.1339259032
396	0.1337764692
397	0.1336635407
398	0.1335243009
399	0.1333880217
400	0.1332467746
401	0.1331835031
402	0.1330882474
403	0.1329849634
404	0.1328994862
405	0.132828956
406	0.1327600538
407	0.1326691564
408	0.1325413077
409	0.1325217163
410	0.132419867
411	0.1323308311
412	0.1322654632
413	0.1322163305
414	0.1321006446
415	0.1319354048
416	0.1319136294
417	0.1318951008
418	0.1318138682
419	0.1316725574
420	0.1315734075
421	0.1315237045
422	0.1313953803
423	0.1313817422
424	0.1312910297
425	0.1312493495
426	0.1310585303
427	0.1309751001
428	0.1308762511
429	0.1308207975
430	0.1307272636
431	0.1305788016
432	0.1304806365
433	0.1304301816
434	0.130298849
435	0.1302413888
436	0.1300638126
437	0.129980642
438	0.1298848007
439	0.129835202
440	0.1297247783
441	0.1295965169
442	0.129557532
443	0.129471061
444	0.1294489119
445	0.1294034489
446	0.1293038711
447	0.1292590642
448	0.1292177986
449	0.1292043695
450	0.1291130765
451	0.128955565
452	0.1288325011
453	0.1287838142
454	0.1287257272
455	0.1285923941
456	0.128572397
457	0.1284771568
458	0.128402966
459	0.1283288536
460	0.1282463032
461	0.1281431124
462	0.1280791358
463	0.1279507251
464	0.1278395925
465	0.1277797923
466	0.127725691
467	0.1276740353
468	0.1275641671
469	0.1275262609
470	0.1274174907
471	0.127308756
472	0.127201055
473	0.1270786849
474	0.1270607921
475	0.1269415829
476	0.126834998
477	0.1267898952
478	0.1267318904
479	0.1266362256
480	0.1266239368
481	0.1265619244
482	0.1264428165
483	0.1263594394
484	0.1262550218
485	0.1262204477
486	0.1261417735
487	0.1260631563
488	0.1259764214
489	0.1258758457
490	0.125794861
491	0.1257313079
492	0.1256004588
493	0.1255475123
494	0.125484791
495	0.1254477495
496	0.1253187617
497	0.1252570729
498	0.1252390889
499	0.1251844986
